,rsrp,pci,plmn,earfcn,time,latitude,longitude,altitude
0,-116,262,21407,3600,<module 'time' (built-in)>,40.713171,-4.073716,1088.700073
1,-116,262,21407,3600,<module 'time' (built-in)>,40.713171,-4.073716,1088.700073
2,-116,262,21407,3600,<module 'time' (built-in)>,40.713171,-4.073716,1088.700073
3,-116,262,21407,3600,<module 'time' (built-in)>,40.713171,-4.073716,1088.700073
4,-116,262,21407,3600,<module 'time' (built-in)>,40.713171,-4.073716,1088.700073
5,-116,262,21407,3600,<module 'time' (built-in)>,40.713171,-4.073716,1088.700073
6,-116,262,21407,3600,<module 'time' (built-in)>,40.713171,-4.073716,1088.700073
7,-116,262,21407,3600,12:09:27,40.717522,-4.0822549,1128.800048828125
8,-116,262,21407,3600,12:09:27,40.717522,-4.0822549,1128.800048828125
9,-116,262,21407,3600,12:09:27,40.717522,-4.0822549,1128.800048828125
10,-117,262,21407,3600,12:09:27,40.717522,-4.0822549,1128.800048828125
11,-117,262,21407,3600,12:09:27,40.717522,-4.0822549,1128.800048828125
12,-117,262,21407,3600,12:09:27,40.717522,-4.0822549,1128.800048828125
13,-117,262,21407,3600,12:09:27,40.717522,-4.0822549,1128.800048828125
14,-117,262,21407,3600,12:09:27,40.717522,-4.0822549,1128.800048828125
15,-116,262,21407,3600,12:09:27,40.717522,-4.0822549,1128.800048828125
16,-116,262,21407,3600,12:09:27,40.717522,-4.0822549,1128.800048828125
17,-116,262,21407,3600,12:09:46,40.7175144,-4.0822473,1128.800048828125
18,-116,262,21407,3600,12:09:46,40.7175144,-4.0822473,1128.800048828125
19,-116,262,21407,3600,12:09:46,40.7175144,-4.0822473,1128.800048828125
20,-116,262,21407,3600,12:09:46,40.7175144,-4.0822473,1128.800048828125
21,-116,262,21407,3600,12:09:46,40.7175144,-4.0822473,1128.800048828125
22,-116,262,21407,3600,12:09:46,40.7175144,-4.0822473,1128.800048828125
23,-116,262,21407,3600,12:09:46,40.7175144,-4.0822473,1128.800048828125
24,-116,262,21407,3600,12:09:46,40.7175144,-4.0822473,1128.800048828125
25,-116,262,21407,3600,12:09:46,40.7175144,-4.0822473,1128.800048828125
26,-112,262,21407,3600,12:09:46,40.7175144,-4.0822473,1128.800048828125
27,-112,262,21407,3600,12:10:06,40.7175297,-4.0822598,1128.800048828125
28,-112,262,21407,3600,12:10:06,40.7175297,-4.0822598,1128.800048828125
29,-112,262,21407,3600,12:10:06,40.7175297,-4.0822598,1128.800048828125
30,-112,262,21407,3600,12:10:06,40.7175297,-4.0822598,1128.800048828125
31,-112,262,21407,3600,12:10:06,40.7175297,-4.0822598,1128.800048828125
32,-112,262,21407,3600,12:10:06,40.7175297,-4.0822598,1128.800048828125
33,-112,262,21407,3600,12:10:06,40.7175297,-4.0822598,1128.800048828125
34,-112,262,21407,3600,12:10:06,40.7175297,-4.0822598,1128.800048828125
35,-112,262,21407,3600,12:10:06,40.7175297,-4.0822598,1128.800048828125
36,-112,262,21407,3600,12:10:06,40.7175297,-4.0822598,1128.800048828125
37,-115,262,21407,3600,12:10:26,40.7175252,-4.0822606,1128.800048828125
38,-115,262,21407,3600,12:10:26,40.7175252,-4.0822606,1128.800048828125
39,-115,262,21407,3600,12:10:26,40.7175252,-4.0822606,1128.800048828125
40,-115,262,21407,3600,12:10:26,40.7175252,-4.0822606,1128.800048828125
41,-115,262,21407,3600,12:10:26,40.7175252,-4.0822606,1128.800048828125
42,-105,262,21407,3600,12:10:26,40.7175252,-4.0822606,1128.800048828125
43,-105,262,21407,3600,12:10:26,40.7175252,-4.0822606,1128.800048828125
44,-105,262,21407,3600,12:10:26,40.7175252,-4.0822606,1128.800048828125
45,-105,262,21407,3600,12:10:26,40.7175252,-4.0822606,1128.800048828125
46,-105,262,21407,3600,12:10:26,40.7175252,-4.0822606,1128.800048828125
47,-107,262,21407,3600,12:10:46,40.717527,-4.0822568,1128.800048828125
48,-107,262,21407,3600,12:10:46,40.717527,-4.0822568,1128.800048828125
49,-107,262,21407,3600,12:10:46,40.717527,-4.0822568,1128.800048828125
50,-107,262,21407,3600,12:10:46,40.717527,-4.0822568,1128.800048828125
51,-107,262,21407,3600,12:10:46,40.717527,-4.0822568,1128.800048828125
52,-107,262,21407,3600,12:10:46,40.717527,-4.0822568,1128.800048828125
53,-112,262,21407,3600,12:10:46,40.717527,-4.0822568,1128.800048828125
54,-112,262,21407,3600,12:10:46,40.717527,-4.0822568,1128.800048828125
55,-112,262,21407,3600,12:10:46,40.717527,-4.0822568,1128.800048828125
56,-112,262,21407,3600,12:10:46,40.717527,-4.0822568,1128.800048828125
57,-112,262,21407,3600,12:11:06,40.7175277,-4.0822574,1128.800048828125
58,-117,262,21407,3600,12:11:06,40.7175277,-4.0822574,1128.800048828125
59,-117,262,21407,3600,12:11:06,40.7175277,-4.0822574,1128.800048828125
60,-117,262,21407,3600,12:11:06,40.7175277,-4.0822574,1128.800048828125
61,-117,262,21407,3600,12:11:06,40.7175277,-4.0822574,1128.800048828125
62,-117,262,21407,3600,12:11:06,40.7175277,-4.0822574,1128.800048828125
63,-117,262,21407,3600,12:11:06,40.7175277,-4.0822574,1128.800048828125
64,-110,262,21407,3600,12:11:06,40.7175277,-4.0822574,1128.800048828125
65,-110,262,21407,3600,12:11:06,40.7175277,-4.0822574,1128.800048828125
66,-110,262,21407,3600,12:11:06,40.7175277,-4.0822574,1128.800048828125
67,-110,262,21407,3600,12:11:26,40.717518,-4.0822337,1127.5999755859375
68,-110,262,21407,3600,12:11:26,40.717518,-4.0822337,1127.5999755859375
69,-110,262,21407,3600,12:11:26,40.717518,-4.0822337,1127.5999755859375
70,-106,262,21407,3600,12:11:26,40.717518,-4.0822337,1127.5999755859375
71,-106,262,21407,3600,12:11:26,40.717518,-4.0822337,1127.5999755859375
72,-106,262,21407,3600,12:11:26,40.717518,-4.0822337,1127.5999755859375
73,-106,262,21407,3600,12:11:26,40.717518,-4.0822337,1127.5999755859375
74,-106,262,21407,3600,12:11:26,40.717518,-4.0822337,1127.5999755859375
75,-107,262,21407,3600,12:11:26,40.717518,-4.0822337,1127.5999755859375
76,-107,262,21407,3600,12:11:26,40.717518,-4.0822337,1127.5999755859375
77,-107,262,21407,3600,12:11:26,40.717518,-4.0822337,1127.5999755859375
78,-107,262,21407,3600,12:11:44,40.717518,-4.0822337,1127.5999755859375
79,-107,262,21407,3600,12:11:44,40.717518,-4.0822337,1127.5999755859375
80,-116,262,21407,3600,12:11:44,40.717518,-4.0822337,1127.5999755859375
81,-116,262,21407,3600,12:11:44,40.717518,-4.0822337,1127.5999755859375
82,-103,170,21407,3600,12:11:44,40.717518,-4.0822337,1127.5999755859375
83,-103,170,21407,3600,12:11:59,40.7175436,-4.0816813,1127.5999755859375
84,-114,168,21407,3600,12:12:01,40.7175663,-4.0816855,1127.5999755859375
85,-112,168,21407,3600,12:11:53,40.7175344,-4.0818878,1125.300048828125
86,-113,168,21407,3600,12:12:05,40.7176031,-4.0816293,1125.300048828125
87,-113,168,21407,3600,12:12:07,40.7176011,-4.0815896,1125.300048828125
88,-101,168,21407,3600,12:12:09,40.7176,-4.0815649,1125.300048828125
89,-100,168,21407,3600,12:12:11,40.7176071,-4.0815424,1125.300048828125
